Category,Project ID,Yx,Project start (in PARC Month),Project end (in PARC Month),Short Title,Project Abbreviation,Manual Tags,NGRA,AOP,IATA,NAM,AI,Environment,Biodiversity,Human health,Human biomonitoring,Workers,Monitoring methods,Non-targeted Screening,Suspect screening,FAIR Data,Risk Assessment,Exposure,PPP,Mixtures,Food,Emerging chemicals,BPA,Health Effects,Carcinogenicity,Endocrine,Genotoxicity,Neurotoxicity,Immunotoxicity,Sensitisation,Case Study,Harmonisation,Prioritisation,SSbD,Toolbox
1,P4.1.1.2.a,Y1,1,81_x000D_,PARC Aligned Studies,P4.1.1.2.a_Y1_GenHBMSurvey_VITO,Exposure; Human biomonitoring; Human health; Monitoring methods,,,,,,,,V,V,,V,,,,V,V,,V,,,,V,,,,,,,,,,,
1,P4.1.1.4.a,Y1,1,18,Occupational Feasibility,P4.1.1.4.a_Y1_OccupFeasability_TTL,Exposure; Human biomonitoring; Workers; Human health; BPA,,,,,,,,V,V,V,,,,,,V,,,,,V,,,,,,,,,,,,
1,P4.1.1.4.b,Y1,1,48,Sentinel System,P4.1.1.4.b_Y1_SentinelSystem_KULeuven,Exposure; Human biomonitoring; Workers; Human health; Environment,,,,,,V,,V,V,V,,,,,,V,,,,,,,,,,,,,,,,,
1,P4.1.1.4.c,Y1,1,48,Health Care Survey,P4.1.1.4.c_Y1_HealthCareSurvey_TTL_RUMC,Exposure; Workers; Human health; Risk assessment,,,,,,,,V,,,,,,,V,V,,,,,,,,,,,,,,,,,
1,P4.1.1.4.d,Y1,1,48,Occupational Waste,P4.1.1.4.d_Y1_OccupWaste_ENSP_TTL,Exposure; Human biomonitoring; Workers; SSbD; Human health,,,,,,,,V,V,V,,,,,,V,,,,,,,,,,,,,,,,V,
1,P4.1.3.1.a,Y1,1,36,Derivation of health-based HBM guidance values,P4.1.3.1.a_Y1_DerivationofHBM-GVs_UBA,Human biomonitoring; Human health; Risk assessment,,,,,,,,V,V,,,,,,V,,,,,,,,,,,,,,,,,,
1,P4.1.3.3.a,Y1,1,52_x000D_,Roadmap linking chemical substances and health,P4.1.3.3.a_Y1_RoadmapLinkingHBMhealth_SpF_VITO,Human biomonitoring; Human health; Monitoring methods,,,,,,,,V,V,,V,,,,,,,,,,,,,,,,,,,,,,
1,P4.1.5.a,Y1,1,66,Sustainable HBM system,P4.1.5.a_Y1_SustainHBMSystem_VITO,Human biomonitoring; Human health; Harmonisation; Risk assessment,,,,,,,,V,V,,,,,,V,,,,,,,,,,,,,,,V,,,
1,P4.3.2.a,Y1,1,48,Screening approaches for perinatal exposure,P4.3.2.a_Y1_H01-Perinatal exposure_INRAE,Exposure; Human biomonitoring; Human health; Mixtures; Non-targeted screening; Suspect screening; Emerging chemicals; Monitoring methods,,,,,,,,V,V,,V,V,V,,,V,,V,,V,,,,,,,,,,,,,
1,P4.3.2.b,Y2,13,60,Innovative methods for occupational exposure,P4.3.2.b_Y2_H02-Occupational exposure_INRS,Exposure; Human biomonitoring; Workers; Human health; Mixtures; Non-targeted screening; Suspect screening; Emerging chemicals; Monitoring methods,,,,,,,,V,V,V,V,V,V,,,V,,V,,V,,,,,,,,,,,,,
1,P4.3.4.a,Y2,13,48,Screening approaches for food item exposure,P4.3.4.a_Y2_F02-Food items exposure_ANSES,Exposure; Mixtures; Food; Non-targeted screening; Suspect screening; Emerging chemicals; Monitoring methods,,,,,,,,V,,,V,V,V,,,V,,V,V,V,,,,,,,,,,,,,
1,P5.1.1.a,Y1,1,36,Hazard characterisation of emerging mycotoxins: enniatins and Alternaria toxins,P5.1.1.a_Y1_Toxins_BfR_UNIVIE,NAMs; NGRA; Human health; Endpoint; Endocrine; Genotoxicity; Immunotoxicity,V,,,V,,,,V,,,,,,,,,,,,,,V,,V,V,,V,,,,,,
1,P5.1.1.b,Y1,1,36, Toxicological effects of BPA alternatives on human,P5.1.1.b_Y1_BPA_HumTox_BfR,Exposure; NAMs; NGRA; Human health; Endpoint; Endocrine; Risk assessment; BPA; Immunotoxicity; Neurotoxicity; Carcinogenicity,V,,,V,,,,V,,,,,,,V,V,,,,,V,V,V,V,,V,V,,,,,,
1,P6.2.4.a,Y1,1,66,Increasing data availability for EBD and HIA related to chemical exposures,P6.2.4.a_Y1_HIADataAvailability_VITO,Exposure; Human health; Environment,,,,,,V,,V,,,,,,,,V,,,,,,,,,,,,,,,,,
1,P6.2.4.b,Y1,1,66,HIA methodologies,P6.2.4.b_Y1_HIAMethod_UU-IRAS,Exposure; Human health; Environment; Risk assessment,,,,,,V,,V,,,,,,,V,V,,,,,,,,,,,,,,,,,
1,P6.2.4.c,Y1,1,42 _x000D_,HIA case studies,P6.2.4.c_Y1_HIACaseStudies_UU-IRAS,Exposure; Human health; Environment,,,,,,V,,V,,,,,,,,V,,,,,,,,,,,,,,,,,
1,P6.2.4.d,Y1,1,42 _x000D_,HIA indicators,P6.2.4.d_Y1_HIAIndicators_VITO,Exposure; SSbD; Human health; Environment,,,,,,V,,V,,,,,,,,V,,,,,,,,,,,,,,,,V,
2,P4.1.4.2.a,Y1,1,36,Analysis of HBM4EU data,P4.1.4.2.a_Y1_DataAnalysisHBM4EU_VITO,Exposure; Human biomonitoring; Human health; Endpoint; Monitoring methods,,,,,,V,,V,V,V,V,,,,,V,,V,,,,V,,,,,,,,,,,
2,P4.3.1.a,Y1,1,12_x000D_,Concept Paper on aligning environment-food-HBM domains,P4.3.1.a_Y1_T01-Concept Paper_MU,Exposure; Human health; Environment; Mixtures; Non-targeted screening; Suspect screening; Monitoring methods,,,,,,V,,V,,,V,V,V,,,V,,V,,,,,,,,,,,,,,,
2,P4.3.1.b,Y1,1,36,QA/QC requirements for suspect and NTS,P4.3.1.b_Y1_T02-QAQC_WR,Human health; Environment; Non-targeted screening; Suspect screening; Monitoring methods,,,,,,V,,V,,,V,V,V,,,,,,,,,,,,,,,,,,,,
2,P4.3.1.d,Y1,1,60,Data processing workflow for suspect and NTS,P4.3.1.d_Y1_T04-Data Processing Workflow_EHESP,Human health; Environment; AI; FAIR Data; Non-targeted screening; Suspect screening; Monitoring methods,,,,,V,V,,V,,,V,V,V,V,,,,,,,,,,,,,,,,,,,
2,P6.4.3.a,Y1,1,36,Databases and testing methods for Substances in Products and Materials,P6.4.3.a_Y1_SuProM_MU,Exposure; NGRA; Human health; Environment; FAIR Data,V,,,,,V,,V,,,,,,V,,V,,,,,,,,,,,,,,,,,
2,P7.2.2.b,Y1,1,42 _x000D_,FAIR data management of HBM data,P7.2.2.b_Y1_HBMdatasets_VITO,Human biomonitoring; Human health; FAIR Data,,,,,,,,V,V,,,,,V,,,,,,,,,,,,,,,,,,,
3,P4.2.a,Y1,1,36,Environmental and multisource monitoring with pilot study PFAS and EDs,P4.2.a_Y1_ENVMonitoringPilotSurvey_INERIS_AU,Human health; Environment; Endpoint; Endocrine; Monitoring methods,,,,,,V,,V,,,V,,,,,,,,,,,V,,V,,,,,,,,,
3,P4.2.b,Y2,13,30,Prioritisation Framework for Environmental Monitoring,P4.2.b_Y2_Monitoringframe_AU_INERIS,Human health; Environment; Endpoint; Prioritisation; Risk assessment; Monitoring methods,,,,,,V,,V,,,V,,,,V,,,,,,,V,,,,,,,,,V,,
3,P4.3.1.c,Y1,1,60,EWS against hazardous substances,P4.3.1.c_Y1_T03-EWStools_SLU,Environment; Non-targeted screening; Suspect screening; Toolbox; Monitoring methods,,,,,,V,,,,,V,V,V,,,,,,,,,,,,,,,,,,,,V
3,P4.3.3.a,Y1,1,36,Wastewater based epidemiology,P4.3.3.a_Y1_E01-Wastewater based epidemiology_UFZ-UBATH,Exposure; Human health; Environment; Mixtures; Prioritisation; Non-targeted screening; Suspect screening; Monitoring methods,,,,,,V,,V,,,V,V,V,,,V,,V,,,,,,,,,,,,,V,,
3,P4.3.3.b,Y2,13,60,Sentinel animals for EWS,P4.3.3.b_Y2_E02-Sentinel animals_ONIRIS,Exposure; Environment; Mixtures; Food; Non-targeted screening; Suspect screening; Monitoring methods,,,,,,V,,,,,V,V,V,,,V,,V,V,,,,,,,,,,,,,,
3,P6.4.4.a,Y1,1,42 _x000D_,Clarifying regulatory needs,P6.4.4.a_Y1_CRNCS1_KEMI,NGRA; Environment; Biodiversity; Risk assessment,V,,,,,V,V,,,,,,,,V,,,,,,,,,,,,,,,,,,
3,P7.2.2.a,Y1,1,36,FAIR data management of environmental monitoring data,P7.2.2.a_Y1_chemicals-in-environment_MU_VITO,Exposure; Environment; FAIR Data; Monitoring methods,,,,,,V,,,,,V,,,V,,V,,,,,,,,,,,,,,,,,
4,P5.1.2.a,Y1,1,36,Toxicity of natural toxins on aquatic organisms,P5.1.2.a_Y1_NaturalToxinsAqua_UGent,Exposure; Environment; Biodiversity; Endpoint,,,,,,V,V,,,,,,,,,V,,,,,,V,,,,,,,,,,,
4,P5.1.2.b,Y1,1,42 _x000D_,Environmental effects of BPA alternatives,P5.1.2.b_Y1_BPAalternatives_BPI_MU,Exposure; NAMs; NGRA; Environment; Biodiversity; BPA,V,,,V,,V,V,,,,,,,,,V,,,,,V,,,,,,,,,,,,
4,P6.4.2.a,Y1,1,36,Mapping of regulatory implementation of NAM ,P6.4.2.a_Y1_LandscapingSurv_UNIBAS,NAMs; NGRA; Human health; Environment; Biodiversity; Risk assessment,V,,,V,,V,V,V,,,,,,,V,,,,,,,,,,,,,,,,,,
4,P6.4.4.b,Y1,1,24,Reduce complexity of models for plant protection products environmental concentrations,P6.4.4.b_Y1_PPPEXPCS2_SLU,Exposure; NGRA; Environment; Biodiversity; Risk assessment; PPP,V,,,,,V,V,,,,,,,,V,V,V,,,,,,,,,,,,,,,,
4,P6.4.4.c,Y1,1,36,Reduce complexity of models for environmental effects of PPP,P6.4.4.c_Y1_PPPEFFCS3_UFZ,Exposure; NGRA; Environment; Biodiversity; Risk assessment; PPP,V,,,,,V,V,,, ,,,,,V,V,V,,,,,,,,,,,,,,,,
4,P6.4.4.d,Y1,1,42 _x000D_,Benchmark for environmental risk assessment of PPP,P6.4.4.d_Y1_PPPBENCHCS4_UKOLD,Exposure; NGRA; Environment; Biodiversity; Risk assessment; PPP,V,,,,,V,V,,,,,,,,V,V,V,,,,,,,,,,,,,,,,
4,P6.4.4.e,Y1,1,42 _x000D_,Quantify effects of PPP through landscape RA,P6.4.4.e_Y1_PPPOSCS5_ISCIII,Exposure; NGRA; Environment; Mixtures; Biodiversity; Risk assessment; PPP,V,,,,,V,V,,,,,,,,V,V,V,V,,,,,,,,,,,,,,,
5,P5.2.1.a,Y1,1,60,Development of NAM to assess NGTXC,P5.2.1.a_Y1_NGTXCs_INRAE,NAMs; NGRA; Human health; IATA; Endpoint; Risk assessment; Carcinogenicity; AOPs,V,V,V,V,,,,V,,,,,,,V,,,,,,,V,V,,,,,,,,,,
5,P5.2.1.b,Y1,1,36,Development of NAM to assess MDC,P5.2.1.b_Y1_MD-EDC_INRAE,NAMs; NGRA; Human health; Endpoint; AOPs,V,V,,V,,,,V,,,,,,,,,,,,,,V,,,,,,,,,,,
5,P5.2.1.c,Y1,1,48,Mechanisms of THSDs,P5.2.1.c_Y1_EDThDisruption_DTU,NGRA; Human health; Endpoint; Endocrine; Risk assessment,V,,,,,,,V,,,,,,,V,,,,,,,V,,V,,,,,,,,,
5,P5.2.1.d,Y1,1,36,Development of NAM to assess immunotoxicity,P5.2.1.d_Y1_Immunotox_Inserm,NAMs; NGRA; Human health; Endpoint; Immunotoxicity; Sensitisation; AOPs,V,V,,V,,,,V,,,,,,,,,,,,,,V,,,,,V,V,,,,,
5,P5.2.1.e,Y1,1,36,Development of NAM to assess DNT and ANT,P5.2.1.e_Y1_DNT-ANT_UFZ_IUF_UU,NAMs; NGRA; Human health; Endpoint; Neurotoxicity,V,,,V,,,,V,,,,,,,,,,,,,,V,,,,V,,,,,,,
